mass [g],459,eprSpeed [mVps],500
time,eprVin,distance,
622,29,97,
622,16,98,
622,4,97,
622,0,97,
622,0,97,
622,0,96,
623,0,97,
624,0,97,
625,0,100,
627,0,99,
628,0,97,
629,0,97,
630,0,97,
631,0,101,
631,0,99,
631,0,98,
631,0,95,
631,0,101,
632,0,98,
633,0,98,
634,0,97,
635,0,97,
636,0,98,
637,0,97,
638,0,100,
639,0,95,
639,0,98,
639,0,99,
639,0,98,
639,0,95,
640,0,96,
641,0,101,
642,0,95,
643,0,100,
644,0,100,
645,0,97,
646,0,99,
647,0,100,
648,0,98,
648,0,99,
648,0,99,
648,0,97,
649,0,97,
650,0,97,
651,0,101,
652,0,103,
653,0,97,
654,0,103,
655,0,97,
656,0,101,
657,0,100,
658,0,100,
659,0,100,
660,0,97,
661,0,96,
662,0,96,
663,0,96,
664,0,98,
665,0,97,
666,0,100,
666,0,97,
667,0,99,
668,0,98,
669,0,96,
670,0,99,
671,0,98,
671,0,99,
672,0,99,
674,0,96,
675,0,100,
676,0,99,
677,0,98,
678,0,97,
679,0,100,
680,0,98,
681,0,97,
682,0,100,
683,0,99,
683,0,97,
684,0,98,
685,0,98,
686,0,97,
687,0,99,
688,0,99,
689,0,99,
690,0,98,
691,0,100,
692,0,97,
692,0,99,
692,0,97,
692,0,98,
693,0,97,
694,0,100,
695,0,97,
696,0,97,
697,0,98,
698,0,96,
699,0,100,
700,0,99,
701,0,96,
701,0,100,
701,0,100,
701,0,100,
702,0,96,
703,0,98,
704,0,100,
705,12,98,
706,24,98,
707,36,100,
707,49,97,
708,61,98,
709,74,98,
710,86,101,
711,98,98,
712,110,100,
713,122,97,
714,134,96,
715,146,96,
716,158,97,
717,170,99,
718,182,97,
719,194,97,
720,206,100,
720,219,99,
720,231,100,
721,244,99,
722,256,100,
723,268,101,
724,280,101,
725,292,99,
726,304,97,
728,316,98,
729,328,99,
730,340,97,
731,352,97,
732,364,99,
733,376,98,
733,388,94,
733,401,96,
733,413,97,
734,426,98,
735,438,100,
736,450,100,
737,462,99,
738,474,100,
739,486,99,
740,498,98,
741,510,98,
742,522,102,
742,535,100,
743,548,100,
744,559,100,
744,572,99,
744,585,100,
745,598,102,
746,610,100,
747,622,101,
748,634,99,
749,646,101,
750,658,101,
751,670,99,
752,682,102,
753,694,101,
754,706,104,
755,718,102,
756,730,103,
757,742,104,
758,754,104,
758,767,105,
758,780,107,
759,793,106,
760,804,107,
760,817,107,
760,830,107,
761,843,105,
762,855,112,
763,867,106,
764,879,106,
765,891,106,
766,903,108,
767,915,110,
768,927,108,
769,939,110,
770,951,109,
770,964,109,
771,977,111,
772,989,107,
773,1001,112,
774,1013,113,
775,1025,110,
777,1037,111,
778,1049,110,
779,1061,110,
779,1074,111,
781,1086,110,
782,1097,112,
782,1110,111,
783,1123,112,
784,1135,110,
785,1147,113,
786,1159,110,
786,1172,115,
787,1184,112,
788,1196,112,
788,1209,112,
789,1222,112,
790,1234,111,
791,1246,110,
792,1258,111,
793,1270,114,
794,1282,113,
795,1294,116,
796,1306,114,
797,1318,115,
797,1330,111,
797,1343,112,
798,1356,117,
798,1368,113,
799,1380,114,
800,1392,113,
801,1404,114,
802,1416,113,
803,1428,116,
804,1440,116,
805,1452,116,
805,1465,117,
806,1477,114,
